tiempo,rank
3.8794e-05,6
3.7977e-05,4
3.9414e-05,6
3.8916e-05,6
3.8549e-05,6
3.8156e-05,4
3.927e-05,6
3.8104e-05,6
3.8821e-05,6
3.901e-05,6
3.875e-05,6
3.9076e-05,6
3.7706e-05,6
3.904e-05,6
3.8808e-05,6
3.7331e-05,4
3.8069e-05,6
3.9147e-05,6
3.832e-05,4
3.8862e-05,6
3.8052e-05,6
3.9539e-05,6
3.7588e-05,4
3.7853e-05,6
3.8608e-05,6
3.881e-05,6
3.9021e-05,6
3.7407e-05,6
0.00200423,6
3.8652e-05,4
3.6597e-05,6
3.6423e-05,4
3.6195e-05,6
3.6364e-05,4
3.6028e-05,6
3.6487e-05,4
3.6163e-05,6
3.6356e-05,4
3.596e-05,6
3.6081e-05,4
3.6441e-05,6
3.6569e-05,4
3.624e-05,6
3.6392e-05,4
3.5974e-05,6
3.6484e-05,4
3.6232e-05,6
3.6117e-05,4
3.6145e-05,6
3.6152e-05,4
3.6346e-05,6
3.6248e-05,4
3.5775e-05,6
3.6171e-05,4
3.6429e-05,6
3.5917e-05,4
3.6356e-05,6
3.5911e-05,4
3.6018e-05,6
3.6279e-05,4
3.5993e-05,6
3.5941e-05,4
3.6174e-05,6
3.6647e-05,4
3.5972e-05,6
3.6195e-05,4
3.606e-05,6
3.6401e-05,4
3.6001e-05,6
3.5968e-05,4
0.000445124,6
3.9546e-05,6
3.821e-05,6
3.9325e-05,6
3.802e-05,6
3.7357e-05,6
4.2601e-05,6
3.786e-05,4
3.9251e-05,6
3.7807e-05,6
3.9203e-05,6
3.8003e-05,2
3.9202e-05,6
3.7623e-05,2
3.7747e-05,6
3.8519e-05,6
3.7662e-05,6
3.9251e-05,6
3.7799e-05,6
3.8695e-05,6
3.7971e-05,6
3.7633e-05,6
3.7571e-05,4
3.9316e-05,6
3.7613e-05,6
3.7774e-05,4
3.8928e-05,6
3.9088e-05,6
3.7952e-05,4
3.8663e-05,6
3.749e-05,2
3.9395e-05,6
3.7888e-05,6
3.8671e-05,6
3.748e-05,4
3.9168e-05,6
4.2468e-05,4
3.896e-05,6
3.769e-05,6
3.8664e-05,6
3.9093e-05,6
3.7732e-05,6
3.8771e-05,6
3.7692e-05,6
3.8864e-05,6
3.784e-05,6
3.9052e-05,6
3.9364e-05,6
3.7495e-05,4
3.7837e-05,6
3.886e-05,6
3.7489e-05,4
3.9766e-05,6
3.7645e-05,4
3.8513e-05,6
3.7597e-05,6
3.87e-05,6
3.7584e-05,4
3.8808e-05,6
3.7715e-05,4
3.9152e-05,6
3.9292e-05,6
3.7892e-05,4
3.8781e-05,6
3.8063e-05,4
3.8656e-05,6
3.7799e-05,4
3.7731e-05,6
3.8716e-05,6
3.7582e-05,4
3.722e-05,6
3.7833e-05,4
3.8982e-05,6
3.8782e-05,6
3.7532e-05,4
3.8974e-05,6
3.7704e-05,4
3.9022e-05,6
3.7438e-05,4
3.8833e-05,6
3.77e-05,6
3.7787e-05,4
3.9203e-05,6
3.7661e-05,4
3.8523e-05,6
3.7738e-05,4
3.8578e-05,6
3.7872e-05,4
3.7847e-05,6
3.7747e-05,4
3.8917e-05,6
3.7839e-05,4
3.7618e-05,6
3.8864e-05,6
3.7942e-05,4
3.9123e-05,6
4.1647e-05,6
3.95e-05,6
3.7572e-05,6
3.9018e-05,6
3.7746e-05,6
3.8938e-05,6
3.884e-05,6
3.8227e-05,6
3.9368e-05,6
3.7499e-05,6
3.8779e-05,6
6.2479e-05,4
3.8877e-05,6
3.8643e-05,6
3.7421e-05,4
3.8641e-05,6
3.779e-05,4
3.8707e-05,6
3.8148e-05,6
3.8375e-05,6
3.7514e-05,6
3.9146e-05,6
3.8749e-05,6
3.7641e-05,6
3.8835e-05,6
3.8775e-05,6
3.8768e-05,6
3.765e-05,4
3.9174e-05,6
3.8618e-05,6
3.7974e-05,4
3.9058e-05,6
3.777e-05,6
3.8773e-05,6
3.7671e-05,4
3.9056e-05,6
3.756e-05,6
3.9042e-05,6
3.766e-05,6
3.7211e-05,4
3.862e-05,6
3.9012e-05,4
3.7849e-05,4
3.8416e-05,6
3.805e-05,4
3.8623e-05,6
3.7329e-05,6
3.8664e-05,6
3.7665e-05,6
3.7733e-05,4
3.7608e-05,6
3.8657e-05,6
3.7988e-05,6
3.8864e-05,6
3.728e-05,4
3.8734e-05,6
3.8815e-05,6
3.8859e-05,6
4.2957e-05,3
3.8852e-05,6
3.8893e-05,6
3.8637e-05,6
3.795e-05,6
3.8661e-05,6
3.8838e-05,6
3.7646e-05,2
3.7842e-05,6
3.8783e-05,6
3.7708e-05,2
3.8992e-05,6
3.7345e-05,6
3.7619e-05,4
3.8965e-05,6
3.755e-05,4
3.7527e-05,6
3.9055e-05,6
3.7671e-05,4
3.787e-05,2
3.7506e-05,4
3.8678e-05,6
3.7434e-05,6
3.9019e-05,6
3.7708e-05,4
3.7455e-05,6
3.8544e-05,6
3.7417e-05,6
3.8889e-05,6
3.8381e-05,6
3.9155e-05,6
3.752e-05,4
4.1563e-05,6
3.9554e-05,6
1.1088e-05,4
4.3928e-05,6
3.7726e-05,4
3.7514e-05,6
3.7701e-05,4
3.8898e-05,6
3.7915e-05,4
3.7849e-05,6
3.8955e-05,6
3.9035e-05,6
3.8931e-05,6
3.8744e-05,6
3.9079e-05,6
3.7306e-05,6
3.7668e-05,4
3.8863e-05,6
3.7563e-05,6
3.8919e-05,6
3.7886e-05,4
3.8974e-05,6
3.7535e-05,4
3.8594e-05,6
3.917e-05,6
3.8807e-05,6
3.7854e-05,2
3.7937e-05,4
3.7768e-05,6
